job_id,views,formatted_work_type,formatted_experience_level,normalized_salary,title_category,state
3874965536,53.0,Contract,Not Specified,83200.0,Other,CA
3875041552,3.0,Full-time,Entry level,60000.0,Healthcare,SC
3875066415,34.0,Contract,Not Specified,135200.0,Data/Analytics,MI
3875199851,300.0,Full-time,Not Specified,65000.0,Management/Executive,US - Unspecified
3875765946,3.0,Full-time,Not Specified,72800.0,Healthcare,US - Metro Area (Unspecified State)
3876457494,70.0,Full-time,Not Specified,105000.0,Management/Executive,CA
3876469865,218.0,Full-time,Not Specified,60000.0,Sales,US - Unspecified
3876572082,6.0,Full-time,Associate,59500.0,Management/Executive,MD
3876991427,20.0,Full-time,Not Specified,77500.0,Management/Executive,IL
3878072014,3.0,Part-time,Not Specified,130000.0,Finance,International/Other
3878329666,3.0,Full-time,Not Specified,53500.0,Management/Executive,FL
3878814926,3.0,Full-time,Not Specified,31200.0,General Labor/Hospitality,WY
3878886873,11.0,Full-time,Not Specified,167500.0,Engineering,US - Metro Area (Unspecified State)
3879240957,91.0,Full-time,Not Specified,150000.0,Other,US - Unspecified
3880108413,6.0,Contract,Not Specified,124800.0,Engineering,OR
3880157614,25.0,Full-time,Entry level,33280.0,Data/Analytics,AZ
3880180438,2.0,Full-time,Not Specified,70000.0,Other,International/Other
3880380418,9.0,Full-time,Not Specified,67600.0,Other,NJ
3881987723,10.0,Contract,Not Specified,60320.0,Technical/Trades,OH
3882144210,2.0,Full-time,Not Specified,119600.0,Other,NJ
3882248468,2.0,Full-time,Not Specified,125000.0,Management/Executive,NJ
3882279550,2.0,Part-time,Not Specified,114400.0,Healthcare,GA
3882347932,5.0,Full-time,Not Specified,50960.0,Finance,WA
3882358050,15.0,Full-time,Not Specified,47500.0,Marketing,US - Unspecified
3883216578,2.0,Full-time,Not Specified,112500.0,Engineering,TX
3883469904,7.0,Part-time,Not Specified,46800.0,Sales,US - Metro Area (Unspecified State)
3883546874,2.0,Full-time,Not Specified,100000.0,Healthcare,KY
3884003641,2.0,Full-time,Not Specified,92500.0,Finance,WA
3884425974,3.0,Full-time,Mid-Senior level,85000.0,Management/Executive,VA
3884426652,21.0,Full-time,Not Specified,92500.0,Engineering,CA
3884426762,5.0,Part-time,Mid-Senior level,94265.6,Healthcare,VA
3884426975,40.0,Full-time,Mid-Senior level,120000.0,Engineering,VA
3884426999,4.0,Full-time,Entry level,49389.6,Technical/Trades,MI
3884427312,8.0,Full-time,Not Specified,62500.0,Management/Executive,TX
3884427334,129.0,Full-time,Not Specified,77500.0,Other,CA
3884427990,7.0,Full-time,Associate,105000.0,Marketing,NJ
3884428699,6.0,Full-time,Not Specified,195000.0,Sales,CA
3884428729,1.0,Full-time,Not Specified,58700.0,Sales,NE
3884428798,11.0,Internship,Internship,41600.0,Other,US - Metro Area (Unspecified State)
3884428983,3.0,Full-time,Entry level,92500.0,Engineering,NY
3884428994,9.0,Full-time,Not Specified,150000.0,Sales,CA
3884429610,4.0,Full-time,Not Specified,115000.0,Sales,OR
3884429616,8.0,Full-time,Entry level,50220.0,HR/Recruiting,International/Other
3884429625,3.0,Full-time,Entry level,86000.0,Management/Executive,GA
3884429634,3.0,Full-time,Mid-Senior level,105000.0,Management/Executive,US - Metro Area (Unspecified State)
3884429653,7.0,Full-time,Mid-Senior level,103500.0,Engineering,MI
3884429657,2.0,Full-time,Entry level,53040.0,Finance,CT
3884429686,3.0,Full-time,Mid-Senior level,122699.2,Healthcare,OR
3884429703,4.0,Full-time,Entry level,47320.0,Healthcare,AZ
3884429705,7.0,Full-time,Entry level,54236.0,Other,AZ
3884429748,4.0,Full-time,Mid-Senior level,147500.0,Senior/Lead,International/Other
3884429777,3.0,Full-time,Not Specified,99580.0,Technical/Trades,US - Metro Area (Unspecified State)
3884429781,4.0,Full-time,Not Specified,73500.0,Healthcare,US - Metro Area (Unspecified State)
3884429788,5.0,Full-time,Mid-Senior level,59987.2,Customer Service/Support,CO
3884429852,4.0,Part-time,Internship,50960.0,Other,IA
3884429878,10.0,Full-time,Executive,192500.0,Senior/Lead,NY
3884429892,104.0,Full-time,Not Specified,82000.0,Management/Executive,CA
3884429902,6.0,Full-time,Mid-Senior level,66000.0,Management/Executive,US - Unspecified
3884430130,2.0,Full-time,Not Specified,67600.0,Technical/Trades,KS
3884430272,2.0,Part-time,Not Specified,31200.0,Administrative/Office Support,TX
3884430432,10.0,Part-time,Entry level,35360.0,Other,CA
3884430583,5.0,Full-time,Entry level,86000.0,Management/Executive,GA
3884430592,40.0,Full-time,Mid-Senior level,90948.0,Management/Executive,International/Other
